what,kind,bundleId,bundleVersion,description,time
error,log,,,"An exception was thrown while indexing document",1380078113446
error,log,,,"An exception was thrown while indexing document",1380078113454
error,log,,,"An exception was thrown while indexing document",1380078113462
error,log,,,"An exception was thrown while indexing document",1380078113470
error,log,,,"An exception was thrown while indexing document",1380078113477
error,log,,,"An exception was thrown while indexing document",1380078113484
error,log,,,"An exception was thrown while indexing document",1380078113492
error,log,,,"An exception was thrown while indexing document",1380078113500
error,log,,,"An exception was thrown while indexing document",1380078113508
error,log,,,"An exception was thrown while indexing document",1380078113516
error,log,,,"An exception was thrown while indexing document",1380078113523
error,log,,,"An exception was thrown while indexing document",1380078113531
error,log,,,"An exception was thrown while indexing document",1380078113538
error,log,,,"An exception was thrown while indexing document",1380078113546
error,log,,,"An exception was thrown while indexing document",1380078113553
error,log,,,"An exception was thrown while indexing document",1380078113561
error,log,,,"releaseContributions: Unhandled manager: null",1380078131697
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1380078131729
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.e4.ui.workbench.swt"".",1380078132454
error,log,,,"Exception occurred while unrendering: org.eclipse.e4.ui.model.application.ui.basic.impl.TrimmedWindowImpl@23f49f49 (elementId: IDEWindow, tags: [topLevel, shellMaximized], contributorURI: platform:/plugin/org.eclipse.platform) (widget: null, renderer: null, toBeRendered: true, onTop: false, visible: true, containerData: null, accessibilityPhrase: null) (label: %trimmedwindow.label.eclipseSDK, iconURI: null, tooltip: null, context: null, variables: [], x: 30, y: -21, width: 1024, height: 768)",1380078132461
closed,workbench,org.eclipse.ui.workbench,3.105.0.v20130529-1406,"",1380078132463
error,log,,,"An unexpected runtime error has occurred.",1380078132954
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.400.v20130508-1748,"org.eclipse.pde.api.tools.ui",1380078133149
stopped,bundle,org.eclipse.pde.ds.ui,1.0.300.v20130507-2057,"org.eclipse.pde.ds.ui",1380078133151
stopped,bundle,org.eclipse.pde.runtime,3.4.400.v20130402-1757,"org.eclipse.pde.runtime",1380078133152
